gen,best_robust,best_mean,best_maximin,best_worst,holdout_robust,holdout_maximin,n_opponents,games_simulated,games_predicted,elapsed_s
0,0.4248,0.8109,0.4,"('real_mega_abomasnow_ex', 0.4)",0.7585,0.7,14,228,0,84.7
1,0.5426,0.8188,0.5,"('real_mega_lucario_ex', 0.5)",0.5793,0.4,15,348,124,144.5
2,0.4807,0.7405,0.4,"('real_mega_abomasnow_ex', 0.4)",0.4902,0.3,16,467,265,216.3
3,0.5107,0.7633,0.5,"('real_mega_lucario_ex', 0.5)",0.6927,0.6,17,599,409,316.5
4,0.7568,0.8721,0.7548,"('real_mega_lucario_ex', 0.755)",0.3927,0.2,18,738,562,453.2
5,0.5112,0.7541,0.3,"('selfelite_g0', 0.3)",0.6561,0.5,19,873,735,603.9
6,0.5211,0.7479,0.4,"('pilot_abomasnow', 0.4)",0.6951,0.6,20,1038,894,810.8
7,0.5128,0.7498,0.4,"('selfelite_g1', 0.4)",0.4902,0.3,21,1235,1037,1084.1
8,0.5158,0.715,0.3,"('real_mega_lucario_ex', 0.3)",0.4402,0.2,22,1439,1189,1389.4
9,0.5344,0.7656,0.5,"('selfelite_g1', 0.5)",0.7573,0.7,23,1659,1341,1733.5
10,0.4712,0.7005,0.4,"('selfelite_g3', 0.4)",0.5537,0.4,24,1892,1496,2132.4
11,0.4495,0.6879,0.2,"('selfelite_g2', 0.2)",0.5102,0.3,25,2138,1654,2580.2
12,0.458,0.6544,0.3,"('selfelite_g8', 0.3)",0.5659,0.4,26,2401,1811,2978.4
13,0.4571,0.6818,0.2,"('selfelite_g11', 0.2)",0.489,0.3,26,2659,1973,3392.6
